name,category,default,necessity
Toothbrush,Toiletries,TRUE,TRUE
Toothpaste,Toiletries,TRUE,TRUE
Floss,Toiletries,TRUE,FALSE
Soap,Toiletries,TRUE,FALSE
Shampoo,Toiletries,TRUE,FALSE
Deodorant,Toiletries,TRUE,TRUE
Nail clipper,Toiletries,TRUE,FALSE
Hairbrush,Toiletries,TRUE,TRUE
Sunscreen,Toiletries,TRUE,TRUE
Lip balm with SPF,Toiletries,TRUE,TRUE
Aloe gel,Toiletries,TRUE,TRUE
Spray bottle,Toiletries,TRUE,FALSE
Moisturizer,Toiletries,TRUE,FALSE
Baby wipes,Toiletries,TRUE,TRUE
Hand sanitizer,Toiletries,TRUE,TRUE
Toilet paper,Toiletries,TRUE,TRUE
Paper towels,Toiletries,TRUE,TRUE
Makeup,Toiletries,TRUE,FALSE
Makeup remover,Toiletries,TRUE,FALSE
Solar shower,Toiletries,TRUE,FALSE
Shower water,Toiletries,TRUE,FALSE
Tissues,Toiletries,TRUE,TRUE
Glasses,Personal Items,TRUE,TRUE
Sunglasses,Personal Items,TRUE,TRUE
Goggles,Personal Items,TRUE,TRUE
Dust mask,Personal Items,TRUE,TRUE
Contact lenses,Personal Items,TRUE,FALSE
Watch,Personal Items,TRUE,FALSE
Car keys,Personal Items,TRUE,TRUE
Parasol,Personal Items,TRUE,FALSE
Ear plugs,Personal Items,TRUE,TRUE
Headlamp,Personal Items,TRUE,TRUE
EL Wire,Personal Items,TRUE,TRUE
Camelbak,Personal Items,TRUE,TRUE
Wallet,Documents and Money,TRUE,TRUE
Tickets,Documents and Money,TRUE,TRUE
Photo ID,Documents and Money,TRUE,TRUE
Cash,Documents and Money,TRUE,TRUE
Credit cards,Documents and Money,TRUE,TRUE
Medical insurance card,Documents and Money,TRUE,TRUE
Map,Documents and Money,TRUE,TRUE
Tent,Camp,TRUE,TRUE
Rebar,Camp,TRUE,TRUE
Rebar covers,Camp,TRUE,TRUE
Tarp,Camp,TRUE,TRUE
Shade structure,Camp,TRUE,TRUE
Sleeping pad,Camp,TRUE,FALSE
Air mattress,Camp,TRUE,FALSE
Sleeping bag,Camp,TRUE,TRUE
Blanket,Camp,TRUE,FALSE
Camp chair,Camp,TRUE,FALSE
Folding table,Camp,TRUE,FALSE
Tools,Camp,TRUE,TRUE
Work gloves,Camp,TRUE,TRUE
Waterproof matches,Camp,TRUE,FALSE
Lighter,Camp,TRUE,TRUE
Duct tape,Camp,TRUE,TRUE
Lantern,Camp,TRUE,TRUE
Rope,Camp,TRUE,TRUE
Message board,Camp,TRUE,FALSE
Batteries,Miscellaneous,TRUE,TRUE
Radio,Miscellaneous,TRUE,FALSE
Knife,Miscellaneous,TRUE,TRUE
Compass,Miscellaneous,TRUE,FALSE
Binoculars,Miscellaneous,TRUE,FALSE
Bike,Miscellaneous,TRUE,TRUE
Bike lock,Miscellaneous,TRUE,TRUE
Bike repair kit,Miscellaneous,TRUE,TRUE
Trash bags,Miscellaneous,TRUE,TRUE
Ziploc bags,Miscellaneous,TRUE,FALSE
Broom,Miscellaneous,TRUE,FALSE
Sewing kit,Miscellaneous,TRUE,FALSE
Safety pins,Miscellaneous,TRUE,FALSE
Notebook,Miscellaneous,TRUE,FALSE
Permanent marker,Miscellaneous,TRUE,FALSE
Gifts,Miscellaneous,TRUE,TRUE
Underwear,Clothing,TRUE,TRUE
Socks,Clothing,TRUE,TRUE
Hat,Clothing,TRUE,TRUE
Costumes,Clothing,TRUE,TRUE
Rain coat,Clothing,TRUE,FALSE
Flip-flops,Clothing,TRUE,FALSE
Sneakers,Clothing,TRUE,TRUE
Shirts,Clothing,TRUE,TRUE
Shorts,Clothing,TRUE,TRUE
Water,Food and Drink,TRUE,TRUE
Cup,Food and Drink,TRUE,TRUE
Plate,Food and Drink,TRUE,TRUE
Bowl,Food and Drink,TRUE,TRUE
Utensils,Food and Drink,TRUE,TRUE
Can opener,Food and Drink,TRUE,TRUE
Camp stove,Food and Drink,TRUE,TRUE
Propane,Food and Drink,TRUE,TRUE
Cleaning supplies,Food and Drink,TRUE,FALSE
Cooler,Food and Drink,TRUE,FALSE
Dry ice,Food and Drink,TRUE,FALSE
Fruit,Food and Drink,TRUE,TRUE
Vegetables,Food and Drink,TRUE,TRUE
Dried fruit,Food and Drink,TRUE,TRUE
Nuts,Food and Drink,TRUE,TRUE
Energy bars,Food and Drink,TRUE,TRUE
Cookies,Food and Drink,TRUE,FALSE
Chips,Food and Drink,TRUE,FALSE
Crackers,Food and Drink,TRUE,TRUE
Peanut butter,Food and Drink,TRUE,TRUE
Canned fruit,Food and Drink,TRUE,FALSE
Canned soup,Food and Drink,TRUE,TRUE
Juice boxes,Food and Drink,TRUE,FALSE
Electrolytes,Food and Drink,TRUE,TRUE
First-aid kit,Medicine,TRUE,TRUE
Prescription medications,Medicine,TRUE,TRUE
Saline spray,Medicine,TRUE,FALSE
Cough drops,Medicine,TRUE,FALSE
Eye drops,Medicine,TRUE,FALSE
